登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
083法登000069,1,2,林文鼎,178,0831222,0831222,0831223,7冊9頁,2,8,邱弘文,財團法人台北縣私立邱和成慈善基金會,0690526,台北縣鶯歌鎮中正二路六十七號,以紀念邱公和成生前樂善好施，救濟貧困疾難，或低收入者學童獎助學金為目的。,由邱弘文先生等人捐助,台北縣政府六十九年五月二十二日北府社三字第一０五七四七號函,永久,164000000.00,1,0831222,,,,,,,,,,,,,,,,,
083法登000070,1,2,林文鼎,142,0831224,0831224,0831227,5冊57頁,1,0,吳敬芳,財團法人台灣省台北縣竹林山觀音寺,0480930,台北縣林口鄉竹林路三二五號,"以宣揚佛教道德，敦睦信徒友誼，增進福利，樹立團結互助精神，並        興辦慈善育英公益事業為宗旨。",由信徒捐助,四十八年九月十六日台北縣政府北府德民一字第一三三三０號,永久,1774358802.00,1,0831224,,,,,,,,,,,,,,,,,
083法登000071,1,2,林文鼎,169,0831228,0831228,0831229,6冊51頁,1,2,金惠媖,財團法人台灣省台北縣天主教本篤會,0570418,台北縣泰山鄉明志路三段九十六巷一號,以協助中國當地主教服務人群，宣揚天主教教義，並供應聖本篤會所需之一切設備及經費為目的。,由天主教本篤會總會捐助,台北縣政府五十七年三月十八日,永久,227436000.00,1,0831228,,,,,,,,,,,,,,,,,
083法登000133,1,2,林文鼎,246,0831222,0840112,0840112,9冊25頁,2,6,施能傑,財團法人基督教台灣福音會,0450202,高雄市新興街二三七號,以在台灣省各地設立教會，闡揚基督聖道，並訓練傳授基督教義人才為宗旨。,由孔彼得牧師捐助,台灣省政府民政廳四十二年十一月二日民甲字第一三八七號,永久,495000.00,1,0840112,,,,,,,,,,,,,,,,,
083法登000300,1,2,林文鼎,296,0830606,0830622,0830622,11冊5頁,2,2,"沈  正",財團法人台灣省台北縣中華基督教內地會,0800308,台北縣新店市花園十路二段七之六０五號,本基督之精神傳揚福音，造就門徒，建立教會，鼓勵並差派宣教士，服務社會辦理教會慈善等事業為宗旨。,由傅德修先生捐助,台北縣政府八十年二月十一日北府民二字第四七三九０號函,永久,5020804.00,1,0830622,,,,,,,,,,,,,"修正捐助章程第六、十五條。                                      
新任董事印鑑登記。",,,,
083法登000411,2,1,林文鼎,467,0831129,0831129,0831129,16冊47頁,,0,吳孟德,社團法人臺灣省結構工程技師公會,0831129,台北市南京東路五段三一六號六樓,以加強會員聯繫，保障應有權益，提高結構工程技術水準，發揚服務精神及協助政府推展國家建設為宗旨。,會員會費、業務費、利息等收入。,臺灣省政府七十七年三月十七日七七社二字第一三九０五號函,永久,12657342.00,1,0831129,,,,,,,,,,,,,,,,,
083法登000609,2,2,林文鼎,343,0831124,0831124,0831124,12冊39頁,2,2,陳樹枝,社團法人中華民國關懷工傷者協會,0820626,台北市和平東路一段一八三巷二十四號,以結合熱心社會公益人士，發揮急難相助精神，協助工傷者身心重建，維護其權益，促進其福利，改善其生活為宗旨。,會員入會費、常年會費及其他收入。,內政部八十一年七月三日台八一內社字第八一一０三九六號函,永久,423046.00,1,0831124,,,,,,,,,,,,,"理監事印鑑。                                                    
修正章程第六條第二款。",,,,
083法登001185,1,2,林文鼎,518,0830120,0830331,0830331,18冊31頁,2,3,韓韶華,財團法人陳宗仁先生免疫學研究發展基金會,0751215,台北市思源街十八號微生物及免疫學科,以推動國內免疫學研究發展為宗旨。,由陳宗仁夫人及社會熱心人士及團體捐助,教育部七十五年九月一日台七五高字第三八一七０號函,永久,1220400.00,1,0830331,,,,,,,,,,,,,"修正捐助章程第四條及第十四條。                                  
董事印鑑。",,,,
083法登001332,1,2,林文鼎,481,0831125,0831125,0831125,17冊17頁,2,3,黃國璋,財團法人黃氏慈善公益事業基金會,0771205,台北市中山北路三段二十七號十三樓,以舉辦或捐助慈善公益事業為目的,由黃國璋等人捐助,內政部七十七年十一月二十八日台七七內社字第六五三五八五號函,永久,50000000.00,1,0831125,,,,,,,,,,,,,董事印鑑,,,,
083法登001771,1,1,林文鼎,415,0830308,0830308,0830308,15冊3頁,,0,釋心道,財團法人世界宗教博物館發展基金會,0830308,台北市南京東路五段九十二號十一樓,一、重建尊重、包容、博愛的社會，闡揚生命的智慧與健康的人生觀。二、提昇華人社會的國際形象與地位。三、推展宗教交流，促進世界和平。四、保護人類的宗教智慧與資產。,由釋心道法師捐助,內政部八十三年三月二十二日台八三內民字第八三０一七二一號函,永久,30000000.00,1,0830308,,,,,,,,,,,,,,,,,
083法登001798,1,1,林文鼎,470,0830701,0830704,0830704,16冊53頁,,0,李隆廣,財團法人全球建設文教基金會,0830704,台北市民權東路三段四號六樓,以從事文教公益事業為宗旨。,由李隆廣、陳丕哲先生捐助。,教育部八十三年六月十六日八三社字第０三一三二三號函,永久,10000000.00,1,0830704,,,,,,,,,,,,,,,,,
